Id,Tweet,Hate,Fake
5723,Abhi tak 2000 ke note me mujhe GPS nano chip nahin mila,0,0
2338,Abe katiye tumse kuch huaa toh jata nahi bas bakri jaise maymay karte rehte ho behan ke lodo tumhari Tablighi jamaat ke karan corona faila aur Bhoomi Poojan mein sab ko screen aur full medical jach ke saath huaa bhosdiwalo,1,1
1579,Ye sab sazish haibina saman ke koi kaise apne gher ja sakta haidekh lena inn logo ke beech bahut aise jamaat ke wo corona honge jo delhi se nikle they,1,1
6524,abe jao tum to dasko pahle hi fash gye the jab tere dada ne talwar ke nokh par salwar pahena tha tera daram kabhi hindu kabhi muslim,1,0
7618,Ab ye afbah kaun faila Raha hai ki Shahhen bag ke Biryani me Population control ki Dawa Milli Hui hai,0,0
5077,Nahi sudhar sakta tu Waise boycott kb se start kr rha eid pe aa rhi HINDUSTAN KA BHAI ki picture jaldi kr PATHAAN jaisa flop karwana h Jaise sarrok kaa career bachaya BHAI ne tera v bacha dega J nafarti dal,1,0
5342,Hindenburg ko America ke 2 Bank ki gadbadi nahi dikhi bank doob Gayalekin sat samundar par Adani dikh gayabzq payment Adani ke liye mila thaand job to job hoti hai,1,0
1451,Agar tum maan lo ki tabligi jamaat hi corona ke liye jimmedar hai To hum v maan jayenge ki trump ki wajah se hi sayad mulle jyada bimar hue,1,1
4975,Inme se kahiyoun ke pati pita bhai amp behen boycott kar rahe te pathaan ko,1,0
7108,magar accident mein toh na jane kitne muslim bhi maregaye hain masjid nahi Mandir haimatlab kuch toh galat haiduty karne wala hindu train chalane wala hindu signal dene wala hinduaur marne wala hindumuslim sabhi,0,0
6200,Ha hm islam ko izzat de aur tum convert karo hme shaitan kaho chal bhag apni dukan leke Jai shree ram,1,0
7782,Ha bilkul,0,0
7460,Bati pataubati padauKhya hamare khilari khe sath ya karna chahiya,0,0
6126,allah ki gand me suar ka land,1,0
3833,Sargum I like you but but sirf ishliye issue m jump mat kijiye ki aap ussh film industry se belong karti h kyunki agar bill m itni hi burayi hoti toh sirf punjab k nhi baaki states k farmers bhi apne state m fully protest karte or khalistan,0,0
5889,Bhai Jo channel 2000 ke note se nano GPS chip nikal de woh channel mahan hai meri taraf se 21 Topo ki salaami,0,0
1489,Are suna hai apne mantri bhi to isi jamaat ke hain ab woh kya aagaie denge Chaliye aaj se jo bhi corona case milega use jain jamati hi bola jayega,1,1
5072,Pathaan ko Boycott kiya BoycottBollywood Gang ne ab kya is PATHAAN ke bachche ko bhi Boycott Karenge,0,0
2836,Yeh koi afwah nahin hai yah hakikat hai ki tabliki jamaat ki vajah se hi pure Desh mein corona sankraman faila hai jo log ye mante hain ki ye sach nhi hai to kya unlogo ne vo vides nhi dekhe hain Jis me ek Mulla falo aur sabjiyo me thuk laga ra,1,1
2274,Corona India me to tha hi nahi ye sab bahar jo modiji logo ko laye hai unse India me corona faila aur rahi Baat tablighi jamat ki to arwind kejriwal ka latest bayan sun lo Phir pata chalega corona kisne failaya,1,1
1916,Iska matlab jo Tablighi plasma donate kar rahe hain wo hindustani aur jo Tablighi corona ke shikaar huwe aur plasma donate nahi kiya wocorona jjihadi Bahot ghatiyawala breed pala hai saheb ne,1,0
4923,Pathaan flop ho gaya aab Jawan pe dhyan de Boycott Jawan,0,0
2424,Jab rajya sarkar main baithi party gareeb logo ko mahanagar se bhagane ke liye sab kuch karati hai magar corona ki rok tham nahi karati to yehi haal pure desh ka hona tay hai Tabliki jamaat Congress aur AAP jasi rajya sarkar isake gunahgaa,1,1
1515,Tabligi jamaat corona failane ka HC ka judgement a gaya hai Ek debate to banta hai Rubika ji Sidh kerdo ke aap awaam k saath ho minority k saath nhee,1,1
266,Tum jaise patrakar bhi kaafi zimmedar haikyuki tum15dinn pehle 1indian Dr ko China se apne karyakram mey laaye thhe jisne bade thhok ke kaha thhaBharat mey15May ko Corona virus khatam ho jaayegapls desh ko aise faltu experts so bachao aur t,1,0
1,Lana shuru kar diya gaya thachina mein jaise corona virus phaila tha waise hi students ko laya gaya tha Video b padi hai pakistani student ki Indian government ko Praise karte hue,0,0
1452,60 jamaat walon Ko corona hai Matlab kuch bhi Unki 60 kitni hai tum jaante bhi ho,1,1
3602,Sayema jaise ghatiya log hamesha Pakistan ka sath dete hai kashmir me militants ko support krte hai aur ab khulkar khalistan k support me aa gaye hai Real Farmer protest ko sabhi support kr rhe hai lekin esme chupe hue khalistani logo ko say,0,0
4582,Yeh banda toh fake farmers protests me banana aur free wiifi baat raha tha unke liye bed and aur khana ka praband bhi kar rahe the Tab nahi socha covid ke liye kuch karne ko,1,1
6569,Aadmi ki acting achi hai,0,0
2752,Jamaat bhi registered hai bhai Crores ki sampati aur registered bhi nahin Videshi aatain hai Corona Phailata hain aur aap shor machate hain Police aur Medical ko pitate hain woh bhi jayaz hai Kyonki hum Sickular hain aur hamare Liberal aapke l,1,1
839,Desh ka Satyanash to Tablighi Jamat kar rahihecorona faila ke,1,1
15,Badle me god ne Corona virus ese he thodi diya tha bhai china me,0,0
3911,HindusUnderAttack in Bangladesh,0,1
2284,Corona se Zyada Zeher to aap Me bhara He sabhi doctors ne checkup ke bad bataya ke Tablighi me se kisi ko corona positive nahi he lekin aap jese logo ke ghar me khana nahi banega agar apne ye zeher nahi phelaya to theek kaha na,1,1
6920,Jis ladkikebapbhai madeeniislamko padhanahiaurbetikocollage uparsemobile hathmaiwoladkihamjaise lafkodostitodurbattaknahikartitowahi hindu1012ladkiyan sabkuchh karnekotaiyar hotihai dosthobas aakhiratmaimuh dikhanahai,1,0
